               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.027966,           0.0095563,            0.020133,             0.75586,             0.57134,             0.59173,             0.48415,            0.030816,           0.0050404,            0.020934,            0.008449,            0.008449,            0.008449
                  49,            0.027692,            0.010219,            0.018878,             0.74726,             0.62362,             0.61834,             0.53292,            0.029696,           0.0038449,            0.021914,            0.008416,            0.008416,            0.008416
                  50,            0.027334,           0.0096253,            0.020843,             0.74214,             0.54287,             0.56124,             0.44184,            0.031672,           0.0045174,            0.028652,            0.008383,            0.008383,            0.008383
                  51,            0.027241,            0.009494,            0.020237,             0.68239,             0.63022,             0.56326,             0.46027,            0.033842,           0.0046281,             0.02528,             0.00835,             0.00835,             0.00835
                  52,            0.028688,           0.0097619,            0.018753,             0.77396,             0.54574,             0.59117,             0.48887,            0.030808,           0.0040909,             0.02154,            0.008317,            0.008317,            0.008317
                  53,             0.02511,           0.0094663,            0.020551,             0.78383,              0.6004,             0.63688,             0.51471,             0.03301,           0.0041723,            0.019016,            0.008284,            0.008284,            0.008284
                  54,            0.028596,           0.0095099,            0.017803,             0.78271,             0.62333,             0.64516,             0.50881,            0.032566,           0.0048863,            0.018642,            0.008251,            0.008251,            0.008251
                  55,            0.028108,           0.0095041,             0.01941,             0.82137,             0.54482,             0.63124,             0.53765,            0.030328,            0.004498,            0.020255,            0.008218,            0.008218,            0.008218
                  56,            0.025852,            0.009823,            0.019537,             0.79528,             0.63118,             0.65095,             0.55139,            0.030809,           0.0040419,             0.02109,            0.008185,            0.008185,            0.008185
                  57,            0.026824,            0.009841,            0.018755,              0.8074,             0.59529,             0.63646,             0.51969,            0.030603,           0.0041072,            0.018483,            0.008152,            0.008152,            0.008152
                  58,            0.024199,           0.0092052,            0.021665,             0.80744,             0.66164,              0.6546,             0.55193,              0.0295,           0.0042669,            0.018861,            0.008119,            0.008119,            0.008119
                  59,            0.026896,            0.009775,            0.019291,             0.77064,             0.63121,               0.611,             0.51626,            0.031608,           0.0044272,            0.020558,            0.008086,            0.008086,            0.008086
                  60,            0.024965,           0.0090465,            0.019147,              0.8141,             0.66083,             0.65283,             0.53597,            0.030999,           0.0041504,            0.016871,            0.008053,            0.008053,            0.008053
                  61,            0.026354,           0.0092765,            0.019226,             0.82674,             0.59444,              0.6582,             0.52747,            0.031228,           0.0038871,            0.019904,             0.00802,             0.00802,             0.00802
                  62,            0.026154,           0.0092852,            0.015842,             0.66786,             0.55357,             0.54321,             0.43285,            0.031705,           0.0045094,            0.030534,            0.007987,            0.007987,            0.007987
                  63,            0.025885,           0.0091413,            0.017927,             0.79955,             0.59896,             0.63533,             0.52721,            0.029593,           0.0038363,             0.02517,            0.007954,            0.007954,            0.007954
                  64,            0.026549,           0.0091367,            0.016211,             0.76785,             0.62131,             0.63358,             0.51296,            0.029681,           0.0037673,            0.020698,            0.007921,            0.007921,            0.007921
                  65,            0.025639,           0.0094893,            0.018097,             0.81478,             0.58753,             0.62005,             0.52983,            0.028385,           0.0042888,            0.020586,            0.007888,            0.007888,            0.007888
                  66,             0.02655,           0.0092222,            0.015597,             0.86666,             0.51798,             0.60683,             0.52966,            0.034644,           0.0055392,            0.013413,            0.007855,            0.007855,            0.007855
                  67,            0.025685,           0.0093339,             0.01447,             0.78479,             0.64375,             0.64132,             0.53937,            0.028656,           0.0045986,            0.014678,            0.007822,            0.007822,            0.007822
                  68,            0.025615,            0.008906,            0.018655,             0.68691,             0.47782,             0.49629,             0.39625,            0.029556,           0.0047766,            0.033768,            0.007789,            0.007789,            0.007789
                  69,            0.026746,             0.01001,            0.017274,             0.82223,             0.47233,             0.57218,             0.47484,            0.028118,           0.0046154,            0.019462,            0.007756,            0.007756,            0.007756
                  70,            0.024824,           0.0094385,            0.018156,             0.78904,             0.61853,               0.639,             0.50383,            0.029261,           0.0040915,            0.019637,            0.007723,            0.007723,            0.007723
                  71,            0.024235,           0.0097444,            0.014916,             0.80105,             0.62088,             0.61315,             0.48521,            0.028753,           0.0045735,            0.020464,             0.00769,             0.00769,             0.00769
                  72,             0.02341,            0.010438,            0.015349,             0.70029,             0.56649,             0.56685,              0.4607,            0.028771,           0.0051249,            0.022133,            0.007657,            0.007657,            0.007657
                  73,            0.022389,           0.0088839,            0.016742,             0.86184,             0.53287,             0.62927,             0.53866,            0.029867,           0.0046971,            0.020881,            0.007624,            0.007624,            0.007624
                  74,            0.024471,           0.0081017,             0.01966,             0.82018,             0.56868,             0.63196,             0.52784,            0.029635,           0.0046899,            0.016756,            0.007591,            0.007591,            0.007591
                  75,            0.023756,           0.0093019,            0.014668,             0.84982,             0.60664,             0.64906,             0.56446,            0.028486,           0.0040866,            0.016491,            0.007558,            0.007558,            0.007558
                  76,            0.023418,           0.0088774,            0.014957,             0.85532,             0.58601,             0.63122,             0.51834,            0.029963,           0.0041464,            0.017254,            0.007525,            0.007525,            0.007525
                  77,            0.022908,           0.0084185,            0.014768,             0.77746,             0.59721,             0.64566,             0.51932,            0.027765,           0.0041821,            0.020188,            0.007492,            0.007492,            0.007492
                  78,            0.023629,           0.0085879,            0.014677,             0.81659,             0.62007,             0.61384,             0.49579,            0.028625,           0.0045261,            0.017434,            0.007459,            0.007459,            0.007459
                  79,            0.022993,           0.0081686,            0.015208,             0.78193,             0.64925,             0.61973,             0.53231,            0.027162,           0.0041783,            0.015322,            0.007426,            0.007426,            0.007426
                  80,            0.025321,            0.008734,             0.01602,             0.84518,             0.59194,               0.656,             0.56971,            0.027757,           0.0037214,            0.014551,            0.007393,            0.007393,            0.007393
                  81,            0.023973,           0.0086956,             0.01652,             0.74922,             0.66286,             0.63422,             0.54768,            0.027634,           0.0043692,            0.014931,             0.00736,             0.00736,             0.00736
                  82,            0.021892,           0.0089808,            0.016001,             0.77577,             0.51583,             0.57444,             0.50433,            0.026964,           0.0040143,            0.021483,            0.007327,            0.007327,            0.007327
                  83,            0.022624,           0.0089903,            0.014894,             0.78399,             0.59486,             0.60809,             0.51384,            0.028158,           0.0040874,            0.020312,            0.007294,            0.007294,            0.007294
                  84,            0.021061,           0.0081987,            0.015902,             0.69222,             0.61458,              0.5755,             0.48331,            0.029519,           0.0048936,            0.022917,            0.007261,            0.007261,            0.007261
                  85,            0.022486,            0.009171,            0.012997,             0.79374,             0.61985,             0.63007,             0.54727,            0.026827,           0.0047367,            0.016196,            0.007228,            0.007228,            0.007228
                  86,            0.021667,           0.0082396,            0.017426,             0.83156,             0.59904,             0.65189,             0.54969,            0.027884,           0.0048227,            0.014188,            0.007195,            0.007195,            0.007195
                  87,            0.022146,            0.008783,            0.018585,             0.84992,              0.6191,             0.66556,             0.58387,            0.027998,           0.0039703,            0.017045,            0.007162,            0.007162,            0.007162
                  88,            0.022095,           0.0083555,            0.019057,             0.68543,              0.5704,             0.56669,             0.47689,            0.030318,           0.0043421,            0.028049,            0.007129,            0.007129,            0.007129
                  89,            0.023037,           0.0086706,            0.015103,             0.87757,             0.59545,             0.64791,             0.56108,            0.028327,           0.0043023,            0.020027,            0.007096,            0.007096,            0.007096
                  90,             0.02417,           0.0085905,            0.016512,             0.76116,                0.63,              0.5925,             0.50129,            0.026727,           0.0042669,            0.014558,            0.007063,            0.007063,            0.007063
                  91,            0.023327,           0.0084682,             0.01607,              0.7657,             0.57066,             0.56907,             0.47582,            0.031438,           0.0054248,            0.014497,             0.00703,             0.00703,             0.00703
                  92,             0.02437,           0.0085123,            0.014424,             0.76667,             0.60295,             0.61694,             0.53197,            0.029539,           0.0042115,            0.015799,            0.006997,            0.006997,            0.006997
                  93,            0.023982,           0.0083757,            0.016298,             0.82185,             0.54329,             0.61074,             0.51922,            0.029452,           0.0047818,            0.015132,            0.006964,            0.006964,            0.006964
                  94,            0.024681,           0.0084773,            0.015579,              0.8101,              0.5495,             0.61363,             0.54638,            0.027381,           0.0046769,            0.018385,            0.006931,            0.006931,            0.006931
                  95,             0.02295,           0.0086438,             0.01564,             0.78739,             0.66166,             0.64807,             0.56381,            0.027018,           0.0044475,             0.01908,            0.006898,            0.006898,            0.006898
                  96,            0.021254,           0.0079796,            0.014604,             0.84407,             0.63432,             0.67099,             0.56524,            0.026272,           0.0040827,            0.015943,            0.006865,            0.006865,            0.006865
                  97,            0.022629,           0.0081844,            0.012534,             0.86019,               0.655,             0.68249,             0.59835,            0.027088,           0.0036001,            0.015714,            0.006832,            0.006832,            0.006832
                  98,             0.02157,           0.0078358,            0.016081,             0.77986,             0.65679,              0.6619,             0.58016,            0.028296,           0.0036318,            0.014281,            0.006799,            0.006799,            0.006799
                  99,             0.02381,           0.0079612,            0.017895,             0.88262,             0.54753,             0.67065,             0.59318,             0.02774,           0.0037014,            0.017086,            0.006766,            0.006766,            0.006766
                 100,            0.023502,           0.0082186,            0.015925,             0.80806,             0.62912,             0.66002,             0.56318,            0.029898,           0.0038468,            0.020479,            0.006733,            0.006733,            0.006733
                 101,            0.023293,           0.0084338,            0.016473,              0.8171,              0.6545,             0.67571,             0.57977,            0.026894,            0.003882,            0.014535,              0.0067,              0.0067,              0.0067
                 102,            0.022592,           0.0088132,            0.014936,             0.80548,              0.6606,             0.65308,               0.579,            0.026784,           0.0043089,            0.014365,            0.006667,            0.006667,            0.006667
                 103,            0.020585,            0.008695,             0.01366,              0.8207,             0.56713,             0.63182,             0.54734,            0.025314,           0.0039887,            0.016042,            0.006634,            0.006634,            0.006634
                 104,             0.02036,           0.0080871,            0.015403,             0.73905,             0.65848,             0.63122,               0.572,            0.026851,           0.0043877,            0.018719,            0.006601,            0.006601,            0.006601
                 105,            0.021629,           0.0080005,            0.012565,             0.79425,             0.60112,             0.61741,             0.53442,             0.02703,           0.0042778,            0.014424,            0.006568,            0.006568,            0.006568
                 106,            0.021282,            0.007869,            0.013852,             0.80364,             0.62002,             0.63853,             0.57526,            0.026207,           0.0034371,            0.013142,            0.006535,            0.006535,            0.006535
                 107,            0.020464,            0.008586,            0.012346,             0.81226,              0.6314,             0.65472,             0.57929,            0.026244,           0.0036623,            0.016789,            0.006502,            0.006502,            0.006502
                 108,            0.021861,           0.0076819,            0.012372,             0.83961,             0.61101,             0.65378,             0.58771,            0.026017,           0.0037136,            0.016332,            0.006469,            0.006469,            0.006469
                 109,            0.022015,           0.0079209,            0.014241,             0.83858,             0.66494,             0.67094,             0.59282,            0.025711,           0.0037962,            0.012727,            0.006436,            0.006436,            0.006436
                 110,            0.023593,           0.0081087,            0.012884,             0.80439,             0.61171,             0.65816,             0.58708,            0.026859,           0.0035391,            0.012452,            0.006403,            0.006403,            0.006403
